id,visibility,name,platform,target_platform,input_control,description,thumbnail,video,meta-url,sc,unity_version,dependencies
miyakojima,true,Miyakojima Galery Tour,"Windows,Android,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",Virtual Tour Museum / Galeri Wisata pulau Miyakojima berbasis Web,https://img.youtube.com/vi/iqRKqUz6t8Q/maxresdefault.jpg,https://www.youtube.com/embed/iqRKqUz6t8Q,https://www.youtube.com/watch?v=iqRKqUz6t8Q,3m7apsclcvTk3tSMC+84ZPL9lefDEQ4fqQL++sFs5ocpcjWPcB8Sb5VOtCxWAOyHG+Jn0UfkverfB7QhiZJMe26FGeHRLZLfgWqMNiDkFMe5yFDgFZbA8lvM3mFGq2x5juEPY0e1ybvshvG+aBNmWZ6m+qWQ5w7qO0sbDmpgMRaCK34=,6.0,"7zip,git"
tugas-dasar-2,true,Tugas Dasar Unity,"Windows",Windows,"Keyboard,Mouse",Tugas Dasar menggunakan primitive objek dan simple action berupa move sebagai tugas nya,https://img.youtube.com/vi/nO45ztZBeq0/maxresdefault.jpg,https://www.youtube.com/embed/nO45ztZBeq0,https://www.youtube.com/watch?v=nO45ztZBeq0,CZbOBrVJYwNB1cbB3ZK3CSCKCUG0MRvzogNJyxqdY0KS7BbZxL0/bfVZD2JysPzZtqbYC6SEtpB9VSKfLJ5vXbgpeuww+T88BNI9V+K2evusmgzEttkiqlPsijWJfjKksE+yE4b+OaGYHvJ5tVTg7RoKTHmUMZlpuriQBCdkL78Ux6M=,6.2,"7zip"
tumpeng-gizi-seimbang,true,Tumpeng Gizi Seimbang,"Windows,Android",Android,"Keyboard,Mouse,Touchscreen","Tumpeng Gizi Seimbang adalah panduan makan sehat dari Kemenkes RI sebagai penyempurnaan ""4 Sehat 5 Sempurna"", berbentuk kerucut untuk menggambarkan proporsi dan keseimbangan konsumsi makanan harian.",https://img.youtube.com/vi/g-7NSLZ37bM/maxresdefault.jpg,https://www.youtube.com/embed/g-7NSLZ37bM,https://www.youtube.com/watch?v=g-7NSLZ37bM,L9zvTuma/RaIHrf/Xc/4cXxoJyRvzC05kVXn6M+/4tNUKPZgeeetTflXyUQu1mB2U9QaacIxQD8FDUz28mzVQlc37ALIC6/tNbexktIc/QK0IeJyAaiWtVgI+WRK+7ne4+y+m4FflaX3r22UYpSTfXKEu5/ETrT5RMWMQafiUSbpyBY=,6.2,"7zip,git,fmod"
ar-edukids,true,AR EduKids,"Windows,Android",Android,"Keyboard,Mouse,Touchscreen",,,,,Uto8o0/XyWL8k0M0ufXjW6RzNti/22hmeP2YMpDmTNUGcHsYkkKzU1Yi5yxdClWlQ2Q88zdQqihdPaBVXqloeX7UK2wCT2OovtIWGXFsHiR+Y/xlSUh8J+aAtdLdq3HdP4osxiNFB8XQBJnYZtYvnrdHKdvfRFhVabGn3ua+3oy2I3U=,6.1,"7zip,git,fmod"
virtual-tour-bahaya-rokok,true,Virtual Tour Bahaya Rokok,"Windows,Android",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/E7ClZGyESUQ/maxresdefault.jpg,https://www.youtube.com/embed/E7ClZGyESUQ,https://www.youtube.com/watch?v=E7ClZGyESUQ,VQPZ0d+HhRKbOml2zKpWQtzMs2j2fBoMdBgYQ6KYrEmFgN5yWRFkexzlG95MeF1u6gMwvG8E7sRV/ZAIApJecq06AMNBNChY7OHp9s++lz1rMQCvPhCH9nHLl4vAOeoSuKzI9Io/GS/I4Hjon2GdedtKfHTZuvRCf8i/4Uc9ogruov4=,6.1,"7zip,git"
web-interactive-megalitikum,true,Web Interactive Megalitikum,"Windows,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/jSCh9mls54c/maxresdefault.jpg,https://www.youtube.com/embed/jSCh9mls54c,https://www.youtube.com/watch?v=jSCh9mls54c,U5XFrWsfkgYiiVNo+qfQQO5VDmD8jRf+47VwUv49/CD5MjWXIJQOqfg+AltWbe0LsuQZW5HKPOCF/uYnVkzaFfi5zCLoZA5CNjABI6EzD9n3uH3hVLUGMwWod+GiwKN2uPFzWT0hjJ0y096RTfPEJ4V4aMIYTqA/PnjhlhK7jy7eyjc=,6.1,"7zip,git,fmod"
sailormun,true,Sailormoon,"Windows,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/B4yP2coIw9A/maxresdefault.jpg,https://www.youtube.com/embed/B4yP2coIw9A,https://www.youtube.com/watch?v=B4yP2coIw9A,/XX372WUfxQzPrRpdFb8ECMxoGx8A/AxMOXzB9Wl3F3PY1mgWx4VTTarTSistAwF3cr4bEDllhmxI1M0cf3gVWIsYDwJUkiwfomKfF34L2s6pz5JlfubfPwwhWl7vMNZGDTwFesdf90gsuR2BgQKLvla9+vI69endNtOLZFypBSKoQ8=,6.1,"7zip,git,fmod"
quiz-hunt-ftik,true,Quiz Hunt FTIK,"Windows,WebGL,Android",Android,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/556kQ1a3ljk/maxresdefault.jpg,https://www.youtube.com/embed/556kQ1a3ljk,https://www.youtube.com/watch?v=556kQ1a3ljk,W8vN7WzCxtaki4ZaTdO2y6gqFt1DHW0zIsb4QIVXajfiJGegN6wXnfB9Lk020+qeWDNprdClJiZBys6yKHTGesyZHpMGLSh23FWm1Nu2gpfSwOOdZURhXQ4f822uwUJLF/WXvUbKDZLv1vxfl1QLUTK9da/oUKzkyKDbOOJ30BrjtYE=,6.1,"7zip,git,fmod"
king-lost,true,King Lost,"Windows,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/Y-bZHkUoD-Q/maxresdefault.jpg,https://www.youtube.com/embed/Y-bZHkUoD-Q,https://www.youtube.com/watch?v=Y-bZHkUoD-Q,rFKFgHSCjVuUAxwQOfrfSo8ixv78w622+gCdOIICUVt34iljLeGiBvjPJyBbgE06e+KWHVM72SGMb+qI3IUfC0cURSqkGg9BQL0M3QzGcvIICivDoFGVXbeinE7fuFxxR5yVsxks23s5GWYlGZiBrLV7wKXzfQCA6ncXZc2eHKiBuHo=,6.1,"7zip,git,fmod"
market-rush,true,Market Rush,"Windows,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/6lqq4SeEB1c/maxresdefault.jpg,https://www.youtube.com/embed/6lqq4SeEB1c,https://www.youtube.com/watch?v=6lqq4SeEB1c,XFkLP1p0vjqq0yFNhOD8sTyLrztH3ULfhE4DXnILe5f0ysusiJ6znDg3eR8fioSeLvpVLvAHz1TRAkVP5Ou8cvGYMonwfgQzoqx7EEYO31NB3ENJ7S0FBGOVa9h2XzCZBDUmZr60SSf9us2+s1/H60SV6CHfO19l3mQ0n8C4XZADvSM=,6.1,"7zip,git,fmod"
where's-my-toast,true,Where's My Toast,"Windows,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/z5Dg9smMxDQ/maxresdefault.jpg,https://www.youtube.com/embed/z5Dg9smMxDQ,https://www.youtube.com/watch?v=z5Dg9smMxDQ,ZW6vLyTT7vtfCYDTCk0t81jQqa43rtU9t71XkdGWVL/00MQyQwV91jOBuoCb/zdW9fux6k1iwWMZhIygtgHSqjUmYWabUXGlcgUuxwuLd1YCKiVNME/0uLx4KHhypsaXc/utqDQ/8AJwx0POehpANO+hApnlMZ83Yyy307JluP0+rus=,6.1,"7zip,git,fmod"
curious-gho-gho,true,Curious gho gho,"Windows,WebGL",WebGL,"Keyboard,Mouse,Touchscreen",,https://img.youtube.com/vi/WRgD9_78kOM/maxresdefault.jpg,https://www.youtube.com/embed/WRgD9_78kOM,https://www.youtube.com/watch?v=WRgD9_78kOM,QsuCL/upsgPyXGt6LMgM07Xe9yD80joKkxyE3Tp5y2kLXQb0w77R5wZtrDcYloab9LlL0P2GoxQqy0q5Y8aG0I7uu+rSJ8E0A92qylOh8s2tzwU+a4IsogTGSd+gKLhynx4wq68GeXhsyAKvYQDLJyK7BLG85E1LQSpgAI7eKJSUIbQ=,6.1,"7zip,git,fmod"
visualisasi-data-banjir,true,Visualisasi Data Banjir,"Windows",Windows,"Keyboard,Mouse",,https://img.youtube.com/vi/pzhKX3SWtW4/maxresdefault.jpg,https://www.youtube.com/embed/pzhKX3SWtW4,https://www.youtube.com/watch?v=pzhKX3SWtW4,1N1Nkj9wI5fj7c/JO9hOWA7ILbUKR44wgfIuOPJn4BOdiOTsAdsLanjIHrkSKNu85R9JxqFWnocyZYsG3Rin8rClj6gHl3rU1azQkXIoxSZl9xGVuGa+F+eMrMo8iixrBZfuTxJzUdUJUU4j944R0YgK57EmHminPILX36foTzDBCOA=,6.2,"7zip,git,fmod"
jejak-petualang-kuliner-nusantara,true,Jejak Petualang Kuliner Nusantara,"Windows",Project Only,"Keyboard,Mouse",,https://img.youtube.com/vi/YgIKYjZKeEQ/maxresdefault.jpg,https://www.youtube.com/embed/YgIKYjZKeEQ,https://www.youtube.com/watch?v=YgIKYjZKeEQ,JIv9WnQS0QmunkFIy/U1tsciURYrr64ReUHeWekeYre+ohJyADJe7C85K89rQx/KvO2vxjJLXMabLhv505z2bC+pNJtKeaQupP79RxLEYbsaocTS1Oc7ScHenAR9X7WDvbaGFlUhA58ZtwrnuEu5OVA8gpuvu1QOxq2AdfgLa/FU7OU=,6.2,"7zip,git,fmod"
viroclash,true,Viro Clash,"Windows,Android",WebGL,"Keyboard,Mouse,Tocuhscreen,Gamepad",,https://img.youtube.com/vi/rOL38Tb-VUQ/maxresdefault.jpg,https://www.youtube.com/embed/rOL38Tb-VUQ,https://www.youtube.com/watch?v=rOL38Tb-VUQ,prFmiX3hLUP7UH+Z+EPJllB3H8cD6+Og9KCJoE7UAds6gG61EfXRsCeGNWysinAazAb3YZGa6F7iG5V9AXDAC7kXXkvOqjHbhP2QDd3fqpOhi9kXvLyRcUxmpqDGtieO0uxo5fFv9EmmktNmvcicNDMvn0IuoqgdcrQ23R0q5YQbqy4=,6.2,"7zip,git,fmod"
explore-cell,true,Explore Cell,"Windows,Android",Android,"Keyboard,Mouse,Tocuhscreen,Gamepad",,https://img.youtube.com/vi/3KrgfEVFxlQ/maxresdefault.jpg,https://www.youtube.com/embed/3KrgfEVFxlQ,https://www.youtube.com/watch?v=3KrgfEVFxlQ,Laj3IHT9g+jkVOJMIuyzsCxwnG15jTMBcJXHf6AyFvkXT/+OypNQ+T/HfCXNsUTAbMP5w5ARJl1eHQ9dVqNGDmWN1H9x0kYgvpDFcJ9pYZRh/1rZg+890fUyxnIS5g10ckUcZ8hpufsOup2TOhbvxSAYv43fGMtgbBBigAV49jB5UhU=,6.2,"7zip,git,fmod"
explore-cell-2,true,Explore Cell v2,"Windows,Android,WebGL",Android,"Keyboard,Mouse,Tocuhscreen,Gamepad",,https://img.youtube.com/vi/o-GSaymjQO8/maxresdefault.jpg,https://www.youtube.com/embed/o-GSaymjQO8,https://www.youtube.com/watch?v=o-GSaymjQO8,L0JXrqfHAvDJHgWgbNIT8dFMxfds3QuzOYonsk7/MD3eSQD3tuAV7oASKEKP4SJ1rgDcjtuAoL9cJfBWaS4fHj7wVcbogxets++aDsWHs+0mcXeW8BHdTTOmu/9eEBSzdg6H+3/B2vsoO0oFLj5GnqgLRIHETGmvzkDwIAxliukYQGg=,6.2,"7zip,git,fmod"
explore-cell-3,true,Explore Cell v3,"Windows,Android,WebGL",Android,"Keyboard,Mouse,Tocuhscreen,Gamepad",,https://img.youtube.com/vi/Bdqs-Ra9zD0/maxresdefault.jpg,https://www.youtube.com/embed/Bdqs-Ra9zD0,https://www.youtube.com/watch?v=Bdqs-Ra9zD0,TOh8Weu9qJJ3OzNdNDUCxlvegIiCTfj2Bani3LmtK6RkIKaasSi9AztQ+ilntBcEkPd8sI0JXNJVwOAdaF7EwcItKjbLVm6rVQWFTLNvYf05uqvqbLBivM5yg+IH1q8Bs2PkCpPgw21VWIyBAILMBSsl66rJCLPabFp2aB+ZWTNRk9E=,6.2,"7zip,git,fmod"
landrise,true,Landrise AR,Android,Android,"Tocuhscreen,Camera","Dalam Landrise, setiap pemain berperan sebagai Raja atau Ratu dari sebuah kerajaan yang bersaing untuk membangun kekuasaan dan merebut lahan utama, Landrise. Permainan dimulai dengan pembagian Character Card secara acak kepada setiap pemain, yang berisi identitas kerajaan serta tabungan awal sebagai modal permainan.",https://img.youtube.com/vi/AxOLy534zgQ/sddefault.jpg,https://www.youtube.com/embed/AxOLy534zgQ,https://www.youtube.com/watch?v=AxOLy534zgQ,gyQMxeDXjwY8lDXespTu2j9wxFkjflIYI2X1JENkk7LJPdN57CZmAFXry0g1pmB7kjbOYhy6byCqx0Y2zV1BEAc8Z1+PWjGkxwZ5keJHtod5rfB3ExledKIrEGs2dv2Zm5L40UP38IQ8/d1wZOAkBf02Z7sycoOuSfYYNocxn3Weido=,6.2,"7zip,git,fmod"
galerina,true,(AR) GALERINA â€” Gallbladder Learning Arena,Android,Android,"Mouse,Touchscreen,Camera",,https://img.youtube.com/vi/zlgBvz-f6LE/sddefault.jpg,https://www.youtube.com/embed/zlgBvz-f6LE,https://www.youtube.com/watch?v=zlgBvz-f6LE,5IvYmNLTRkCDLgCMnDI5Jwe3/vHmYavf7qUTxzzTefQ0mvlrPRw0tladBChQrOMfLt5d0QGIeKYyCigSu8B/74Cezln2Vg7EnKRsaInp4wUJgwXlSoHAQpTW6RRXlEavRg91PMgW+wl5J1vLaWBCyqqFSCOaNIHc5zDECtmGOr9hvts=,6.2,"7zip,git,fmod"
AR-video-K3l,true,AR video K3l,Android,Project Only,"Mouse,Touchscreen,Camera",,https://img.youtube.com/vi/DeS4AFSEkec/sddefault.jpg,https://www.youtube.com/embed/DeS4AFSEkec,https://www.youtube.com/watch?v=DeS4AFSEkec,GixKdbbL5ve6PBmi5NO6I5I2B52lADxmPzKk/srJtWJ0KsN4j1ZXUtSLZ4MSLiphfER9hDUfYIh4h1vwJA750a9DpXtyUQtnkZ40147UJ6L7g7RRYVowo9DPB+9xwTl9XJQghOZfHWBDUR+Rj5zRfBI1UJIRZkkRbMGBDNxZAy7lwyk=,6.2,"7zip,git"
Belajar-Alfabet,true,Belajar Alfabet,"Windows,Android,WebGL",Android,"Mouse,Touchscreen",,https://img.youtube.com/vi/hKRaW7Bwba8/sddefault.jpg,https://www.youtube.com/embed/hKRaW7Bwba8,https://www.youtube.com/watch?v=hKRaW7Bwba8,/FECRmnsxFftujocdO4TFYsx4C0KZpSeo5T2JDwGpIv3EczUyTyYCiTwqWxRyo5n58qKgMfVbnDXHY38fDnDRAvYQND1F5KNaHjsy1AA3yLqAo4x6IGG7rQm2RB/bdccvVZ6w3siMu/xZx4qxAjjRE4O8h47mXj9VbajT85kABpkwzw=,6.3,7zip